interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
10,109,"of the total amount that jill spent on a shopping trip , excluding taxes , she spent 25 percent on clothing , 25 percent on food , and 50 percent on other items . if jill paid a 10 percent tax on the clothing , no tax on the food , and an 2 percent tax on all other items , then the total tax that she paid was what percent of the total amount that she spent , excluding taxes ?",general,1,0.5 \times 0.1+0.5 \times 0.02=0.06,Ratio Calculation,No,0
11,950,"a certain family has 3 sons : richard is 6 years older than david , and david is 8 years older than scott . if in 8 years , richard will be twice as old as scott , then how old was david 2 years ago ?",general,1,Scott $x$ years old $$ \begin{aligned} & (14+8+x)=2(x+8) \\ & x=6 \\ & 6+8-2=12 \end{aligned} $$,Expression and Operations with Symbols,No,1
12,402,63.2 is what percent of 867 ?,gain,1,"63,2 \div 867=0,072",Basic Math Operations,No,1
13,1580,the diagonals of a rhombus are 10 cm and 15 cm . find its area ?,geometry,1,5 \times 7.5 \times 2=75,Area Calculation,No,1
14,1034,find the area of a parallelogram with base 24 cm and height 16 cm .,geometry,1,24 \times 16=384,Area Calculation,No,1
15,308,"two employees x and y are paid a total of rs . 440 per week by their employer . if x is paid 120 percent of the sum paid to y , how much is y paid per week ?",general,1,rs-(440 \times 1.2)=rs-528,Expression and Operations with Symbols,No,0
16,77,a person buys an article at rs . 575 . at what price should he sell the article so as to make a profit of 15 % ?,gain,1,575 \times(1+0.15)=661.25,Profit,No,1
17,2143,"fox jeans regularly sell for $ 15 a pair and pony jeans regularly sell for $ 20 a pair . during a sale these regular unit prices are discounted at different rates so that a total of $ 9 is saved by purchasing 5 pairs of jeans : 3 pairs of fox jeans and 2 pairs of pony jeans . if the sum of the two discounts rates is 22 percent , what is the discount rate on pony jeans ?",gain,1,discounts rates of pony jeans is $X \%$ $$ \begin{aligned} & 15 \times 3 \times(1-(22 \%-x \%))+20 \times 2 \times(1-x \%)=15 \times 3+20 \times 2-9 \\ & 45 \times(22-x) \%+40 \times x \%=9 \\ & 45 \times(22-x)+40 x=900 \\ & 5 x=90 \\ & x=18 \end{aligned} $$,Discount Problem,No,1
18,415,"of the 120 passengers on flight 750 , 60 % are female . 10 % of the passengers sit in first class , and the rest of the passengers sit in coach class . if 1 / 3 of the passengers in first class are male , how many females are there in coach class ?",gain,1,"\begin{aligned} & 120 \times 0,6=72 \\ & 120 \times 0,1=12 \\ & 12 \times \frac{2}{3}=8 \\ & 72-8=64 \end{aligned}",Ratio Calculation,No,1
19,751,"if 6 men can reap 60 acres of land in 10 days , how many acres of land can 12 men reap in 20 days ?",physics,1,12 \times 20=240,Workload-Time-Speed,No,1
20,1032,"in august , a cricket team that played 120 matches won 20 % of the games it played . after a continuous winning streak , this team raised its average to 52 % . how many matches did the team win to attain this average ?",general,1,"\begin{aligned} & \operatorname{win}=x \\ & 120 \times 0,2=24 \\ & \frac{24+x}{120+x}=\frac{52}{100} \\ & 100(24+x)=(120+x) \times 52 \\ & x=\frac{6240-2400}{48}=80 \end{aligned}",Arithmetic Mean,No,1
21,15,? % of 360 = 108,gain,1,"108 \div 360=0,3=30 \%",Basic Math Operations,No,1
22,1392,ashok and pyarelal invested money together in a business and share a capital of ashok is 1 / 9 of that of pyarelal . if the incur a loss of rs 1600 then loss of pyarelal ?,gain,1,1600 \times(1-0.9)=160,Ratio Calculation,No,0
23,272,"john has $ 1600 at the beginning of his trip , after spending money , he still has exactly $ 600 less than he spent on the trip . how much money does john still have ?",general,1,(1600-600) \div 2=500,Basic Math Operations,No,1
24,2768,find the remainder q when 12 ^ 190 is divided by 1729 ?,general,1,,Modular Arithmetic,Modular Arithmetic,0
25,46,"if 6 men and 8 women can do a piece of work in 10 days while 26 men and 48 women can do the same in 2 days , the time taken by 15 men and 20 women in doing the same type of work will be ?",physics,1,$x$ is man's work per day $y$ is woman's work per day $$ \begin{aligned} & (6 x+8 y) \times 10=(26 x+48 y) \times 2 \\ & x=2 y \\ & (6 x+8 y) \times 10=200 y \\ & 15 x+20 y=50 y \\ & 200 y \div 50 y=4 \text { day } \end{aligned} $$,Workload-Time-Speed,No,1
26,1462,the average of the first 5 multiples of 9 is :,general,1,9 \times(1+2+3+4+5) \div 5=27,Arithmetic Sequence/Series && Arithmetic Mean,No,1
27,409,"the average temperature for monday , tuesday and wednsday is 36.3 degrees c . the average temperature for tuesday , wednesday and thursday is 36.7 degrees c . if monday  s temperature recorded as 39 degrees c , find the thursday  s temperature ?",general,1,\begin{aligned} & 36.3 \times 3-39=69.9 \\ & 36.7 \times 3-69.9=40.2 \end{aligned},Arithmetic Mean,No,1
28,420,"for 2 consecutive yrs , my incomes are in the ratio of 4 : 7 and expenses in the ratio of 3 : 5 . if my income in the 2 nd yr is rs . 42000 & my expenses in the first yr in rs . 21000 , my total savings for the two - year is",general,1,incomes first year $x$ expenses second year $y$ $$ \begin{aligned} & 4: \eta=x: 42000 \\ & x=24000 \\ & 3=5=21000: y \\ & y=35000 \\ & (42000+24000)-(21000+35000)=10000 \end{aligned} $$,Expression and Operations with Symbols,No,1
29,541,36 men can complete a piece of work in 18 days . in how many days will 81 men complete the same work ?,physics,1,36 \times 18 \div 81=8,Workload-Time-Speed,No,1
30,1299,"a grocer has 400 pounds of coffee in stock , 40 percent of which is decaffeinated . if the grocer buys another 100 pounds of coffee of which 60 percent is decaffeinated , what percent , by weight , of the grocer  s stock of coffee is decaffeinated ?",gain,1,(400 \times 0.4+100 \times 0.6) \div 500=0.44=44 \%,Ratio Calculation,No,1
31,395,the average of 5 quantities is 9 . the average of 3 of them is 4 . what is the average of remaining 2 numbers ?,general,1,(5 \times 9-4 \times 3) \div 2=\frac{33}{2},Arithmetic Mean,No,1
32,754,what will be the difference between simple and compound interest at 8 % per annum on a sum of rs . 1000 after 4 years ?,gain,1,Years : $t$ simple interest is $rs \times (1+0.08 t)$ compound interest $rs \times(1+0.08)^t$ Simple in crest compound incest $$ \begin{aligned} & 1000 \times(1+0.08 \times 4)=1320 \\ & 1000 \times(1+0.08)^4=1360 \end{aligned} $$,Simple Interest && Compound Interest,No,0
33,2520,"the ratio of number of boys and girls in a school is 1 : 2 . if there are 90 students in the school , find the number of girls in the school ?",other,1,90 \times \frac{2}{3}=60,Ratio Calculation,No,1
34,197,"if ( 18 ^ a ) * 9 ^ ( 3 a  1 ) = ( 2 ^ 3 ) ( 3 ^ b ) and a and b are positive integers , what is the value of a ?",general,1,\begin{aligned} (18)^a \times 9^{(3 a-1)}=\left(2^3\right)\left(3^b\right) \Rightarrow 2^a=2^3 \\ =2^{(a)} \times 3^{(2 a)} \times 3^{2(3 a-1)}=\left(2^3\right)\left(3^b\right) \Rightarrow a=3 \end{aligned},Prime Factorization,No,1
35,25,"an art gallery has only paintings and sculptures . currently , 1 / 3 of the pieces of art are displayed , and 1 / 6 of the pieces on display are sculptures . if 1 / 3 of the pieces not on display are paintings , and 1000 sculptures are not on display , how many pieces of art does the gallery have ?",general,1,$\operatorname{cota} 1=x$ $$ \begin{gathered} x \times\left(1-\frac{1}{3}\right) \times\left(1-\frac{1}{3}\right)=1000 \\ \frac{\Delta}{9} x=1000 \\ x=2250 \end{gathered} $$,Ratio Calculation,No,1
36,1663,"excluding the stoppages , the speed of a bus is 64 km / hr and including the stoppages the speed of the bus is 48 km / hr . for how many minutes does the bus stop per hour ?",physics,1,60 \times\left(1-\frac{48}{64}\right)=15,Distance-Time-Speed && Unit Conversion,No,1
37,60,"a can do a piece of work in 4 hours ; b and c together can do it in 3 hours , which a and c together can do it in 2 hours . how long will b alone take to do it ?",physics,1,\begin{aligned} & a \times 4=2(a+c) \\ & a=c \\ & 3(b+c)=4 c \\ & 3 b=c \\ & 12 b=4 c \Rightarrow 12 \mathrm{hr} \end{aligned},Workload-Time-Speed,No,1
38,239,"excluding stoppages , the average speed of a bus is 100 km / hr and including stoppages , the average speed of the bus is 40 km / hr . for how many minutes does the bus stop per hour ?",general,1,60 \times\left(1-\frac{40}{100}\right)=36,Distance-Time-Speed && Unit Conversion,No,1
39,380,the effective annual rate of interest corresponding to a nominal rate of 14 % per annum payable half - yearly is ?,gain,1,1 \times(1+0.14)^2=1.2996,Effective Annual Interest Rate,Effective Annual Interest Rate,0
40,242,"united telephone charges a base rate of $ 7.00 for service , plus an additional charge of $ 0.25 per minute . atlantic call charges a base rate of $ 12.00 for service , plus an additional charge of $ 0.20 per minute . for what number of minutes would the bills for each telephone company be the same ?",general,1,\begin{aligned} & 12-17=5 \\ & 5 \div(0.25-0.2)=100 \end{aligned},Expression and Operations with Symbols,No,1
41,429,"a glass was filled with 10 ounces of water , and 0.05 ounce of the water evaporated each day during a 20 - day period . what percent of the original amount of water evaporated during this period ?",gain,1,0.05 \times 20 \div 10=0.1=10 \%,Ratio Calculation,No,1
42,713,"a is a working partner and b is a sleeping partner in the business . a puts in rs . 3500 and b rs . 1500 , a receives 10 % of the profit for managing the business the rest being divided in proportion of their capitals . out of a total profit of rs . 9600 , money received by a is ?",gain,1,\begin{aligned} & \text { proportion of capitals: } \begin{aligned} & a: b=3500: 1500 \\ & 9600 \times 0.1+9600 \times 0.9 \times \frac{7}{10}=7: 3 \\ &=7008 \end{aligned} \end{aligned},Profit && Ratio Calculation,No,1
43,295,a store sells 2 kinds of jelly beans mixes ( a and b ) both made up of red and yellow beans . if b contains 20 % more red beans than a but 10 % fewer yellow beans . and jar a contains twice as many red beans as yellow by what percent is the number of beans in jar b larger than the number in jar a,general,1,\text { set } \begin{aligned} & a=3 \\ & b=2 \times(1+0.2)+1 \times 0.9=3.3 \\ & (3.3-3) \div 3=0.1=10 \% \end{aligned},Ratio Calculation,No,1
44,188,"in an electric circuit , two resistors with resistances 3 ohm and 5 ohm are connected in parallel . in this case , if r is the combined resistance of these two resistors , then the reciprocal of r is equal to the sum of the reciprocals of two resistors . what is the value ?",geometry,1,\frac{1}{\frac{1}{3}+\frac{1}{5}}=\frac{15}{8},Expression and Operations with Symbols,No,1
45,2444,"the average ( arithmetic mean ) of all scores on a certain algebra test was 90 . if the average of the 8 male students  grades was 87 , and the average of the female students  grades was 92 , how many female students took the test ?",general,1,\begin{aligned} & \text { sirl }=x \\ & (8 \times 87+92 x) \div(x+8)=90 \\ & 696+92 x=90 x+1720 \\ & x=12 \end{aligned},Arithmetic Mean,No,1
46,1916,one fourth of one third of two fifth of a number is 20 . what will be 40 % of that number,gain,1,number: $x$ $$ \begin{gathered} x \times \frac{1}{4} \times \frac{1}{3} \times \frac{2}{5}=20 \\ \frac{2}{5} x=240 \end{gathered} $$,Expression and Operations with Symbols,No,1
47,445,machine a and machine b are each used to manufacture 550 sprockets . it takes machine a 10 hours longer to produce 550 sprockets than machine b . machine b produces 10 percent more sprockets per hour than machine a . how many sprockets per hour does machine a produces ?,gain,1,"machine a manufacture a sprockets per hour , machine $b$ manufacture $b$ sprockets per hour $t$ hours for machine $b$ to manufacture 550 sprocket. $$ \begin{aligned} & b=1.1 a \\ & a(t+10)=b t \\ & a t+10 a=1.1 a t=550 \\ & 10 a=0.1 a t \\ & 100 a=a t \\ & 110 a=550 \\ & a=50 . \end{aligned} $$",Workload-Time-Speed,No,0
48,1700,the area of a rectangular field is equal to 300 square meters . its perimeter is equal to 70 meters . find the width of this rectangle .,geometry,1,"\begin{aligned} & \text { length }=x \\ & \text { width }=y \\ & x y=300 \\ & 2 x+2 y=70 \\ & (2 x+2 y)^2=4 x^2+8 x y+4 y^2=4900 \\ & 4 x^2-8 x y+4 y^2=4900-300 \times 16 \\ & (2 x-2 y)^2=100 \\ & 2 x-2 y=10 \\ & 4 x=10+70, x=20 \\ & 20 x^2+2 y=770, y=15 \end{aligned}",Area Calculation && Perimeter Calculation,No,1
49,438,two stations p and q are 155 km apart on a straight track . one train starts from p at 7 a . m . and travels towards q at 20 kmph . another train starts from q at 8 a . m . and travels towards p at a speed of 25 kmph . at what time will they meet ?,physics,1,\begin{aligned} & 155-20 \times 1=135 \\ & 135 \div(20+25)=3 \end{aligned},Distance-Time-Speed && Relative Speed,No,0
50,829,we bought 85 hats at the store . blue hats cost $ 6 and green hats cost $ 7 . the total price was $ 600 . how many green hats did we buy ?,general,1,blue hats: $x$ green has = $y$ $$ \begin{aligned} & x+y=85 \\ & 6 x+7 y=600 \\ & 6(x+y)=85 \times 6=510 \\ & y=600-510=90 \end{aligned} $$,Expression and Operations with Symbols,No,1
51,38,"in a family 13 people eat only vegetarian , 7 people eat only non veg . , 8 people eat both veg and non veg . . how many people eat veg in the family ?",other,1,13+8=21,Fundamental Counting Principles,No,1
52,2500,"a , b , c , d and e are 5 consecutive points on a straight line . if bc = 3 cd , de = 7 , ab = 5 and ac = 11 , what is the length of ae ?",physics,1,\begin{aligned} & b c=11-a b=6 \\ & c d=6 \div 3=2 \\ & a c=5+6+2+7=20 \end{aligned},Plane Geometry,No,1
53,152,if 11.25 m of a uniform steel rod weighs 42.75 kg . what will be the weight of 10 m of the same rod ?,physics,1,42.75 \times \frac{10}{11.25}=38,Direct Proportion and Inverse Proportion,No,1
54,854,"a broker invested her own money in the stock market . during the first year , she increased her stock market wealth by 80 percent . in the second year , largely as a result of a slump in the stock market , she suffered a 30 percent decrease in the value of her stock investments . what was the net increase or decrease on her overall stock investment wealth by the end of the second year ?",gain,1,\begin{aligned} & 1 \times(1+0.8) \times(1-0.3)=1.26 \\ & 1-1.26=0.26=26 \% \\ & \text { increase } 26 \% \end{aligned},Profit && Loss,No,1
55,1297,the speed of a car is 145 km in the first hour and 60 km in the second hour . what is the average speed of the car ?,physics,1,(145+60) \div 2=100.25,Distance-Time-Speed,No,0
56,411,what will be the ci on a sum of rs . 25000 after 3 years at the rate of 12 per year ?,gain,1,"\begin{aligned} & 111111,333333,555555,777777,999999 \\ & \Rightarrow 5 \end{aligned}",Compound Interest,No,0
57,2368,the profit earned by selling an article for 812 is equal to the loss incurred when the same article is sold for 448 . what should be the sale price of the article for making 50 per cent profit ?,gain,1,\begin{aligned} & (812-448)=2=182 \\ & 812-182=630 \\ & 630 \times 1.5=945 \end{aligned},Profit && Loss,No,1
58,537,"a retailer bought a machine at a wholesale price of $ 81 and later on sold it after a 10 % discount of the retail price . if the retailer made a profit equivalent to 20 % of the whole price , what is the retail price of the machine ?",gain,1,retail price: $x$ $$ \begin{aligned} & 0.9 x=81 \times 1.2 \\ & x=108 \end{aligned} $$,Profit && Discount Problem,No,1
59,11,the percentage profit earned by selling an article for rs . 1920 is equal to the percentage loss incurred by selling the same article for rs . 1280 . at what price should the article be sold to make 40 % profit ?,gain,1,\begin{aligned} & \text { price }=x \\ & (1420-1280) \div 2=320 \\ & 1920-320=1600 \\ & 1600 \times 1.4=2240 \end{aligned},Profit && Loss,No,1
60,353,arun and tarun can do a work in 10 days . after 4 days tarun went to his village . how many days are required to complete the remaining work by arun alone . arun can do the work alone in 40 days .,physics,1,arun: $x$ duily workload $10 x+10 y=40 x$ $y=3 x$ $4 y+4 y=16 x \quad 24 d a y$ $40 x-16 x=24 x \quad$,Workload-Time-Speed,No,1
61,2944,a student has to obtain 33 % of the total marks to pass . he got 125 marks and failed by 40 marks . the maximum marks are,general,1,(125+40) \div 0.33=500,Expression and Operations with Symbols,No,1
62,2683,"the ratio of the incomes of rajan and balan is 7 : 6 and the ratio of their expenditure is 6 : 5 . if at the end of the year , each saves $ 1000 then the income of rajan is ?",other,1,income ratio = $7x:6x$ expenditure ratio = $6 y:5 y$ $$ \begin{aligned} & 7 x-6 y=1000 \\ & 6 x-5 y=1000 \\ & x-y=0 \\ & x=y=1000 \\ & 6 y=6000 \end{aligned} $$,Expression and Operations with Symbols,No,0
63,2396,3 * 13 + 3 * 14 + 3 * 17 + 11 = ?,general,1,\begin{aligned} & 3 \times 13+3 \times 14+3 \times 17+11 \\ & =3(13+14+17)+11 \\ & =3 \times 44+11 \\ & =11(3 \times 4+1) \\ & =143 \end{aligned},Basic Math Operations,No,1
64,914,"two trains leave a station traveling in the same direction . train a leaves traveling at a constant speed of 50 mph , while train b leaves traveling at a constant speed of 80 mph . if train b left the station 30 minutes after train a left , in how many minutes will train b overtake train a ?",physics,1,\frac{50 \times \frac{1}{2}}{80-50} \times 60=50,Distance-Time-Speed && Relative Speed && Unit Conversion,No,1
65,1639,"a bag contains 6 green and 8 white balls . if two balls are drawn simultaneously , the probability that both are of the same colour is",other,1,\frac{6 \times 5+8 \times 7}{14 \times 13}=\frac{86}{182}=\frac{43}{91},Probability && Permutations and Combinations,No,1
66,434,"the mall charges 50 cents for the first hour of parking and $ 3 for each additional hour until the customer reaches 4 hours , after that the parking fee is $ 1 per hour . if a certain customer parked his in the mall for 7 hours and 30 minutes , how much is he going to pay ?",physics,1,50+3 \times 3+3.5 \times 1=62.5,Basic Math Operations && Unit Conversion,No,0
67,2811,we bought orange juice and apple juice at the store . a bottle of orange juice costs 70 cents and a bottle of apple juice costs 60 cents . we bought a total of 70 bottles for $ 46.20 . how many bottles of orange juice did we buy ?,general,1,orange : $x$ apple: $y$ $$ \begin{aligned} & 170 x+60 y=4620 \\ & x+y=710 \\ & 70 x+70 y=4900 \\ & y=\frac{4900-4620}{10}=28 \\ & x=770-28=42 \end{aligned} $$,Expression and Operations with Symbols && Unit Conversion,No,1
68,2544,"the average ( arithmetic mean ) of 20 , 40 , and 60 is 9 more than the average of 10 , 70 , and what number ?",general,1,\frac{20+40+60}{3}-\frac{10+70+x}{3}=9,Arithmetic Mean,No,0
69,171,a began business with rs . 27000 and was joined afterwards by b with rs . 54000 . when did b join if the profits at the end of the year were divided in the ratio of 2 : 1 ?,other,1,,Ratio Calculation,Ratio Calculation,0
70,358,a trader bought a car at 20 % discount on its original price . he sold it at a 80 % increase on the price he bought it . what percent of profit did he make on the original price ?,gain,1,original price : $x$ $$ \begin{aligned} & x \times(1-0.2) \times(1+0.8)=1.44 x \\ & \frac{1.44 x}{x}-1=0.44=44 \% \end{aligned} $$,Discount Problem && Profit,No,1
71,2620,"in a certain alphabet , 8 letters contain a dot and a straight line . 24 letters contain a straight line but do not contain a dot . if that alphabet has 40 letters , all of which contain either a dot or a straight line or both , how many letters contain a dot but do not contain a straight line ?",other,1,Only dot : $x$ $$ \begin{aligned} & x+24-8=40 \\ & x=24 \end{aligned} $$,Fundamental Counting Principles,No,0
72,2351,"find the average marks of all the students in 2 separate classes , if the average marks of students in the first class of 58 students is 67 and that of another class of 52 students is 82 .",general,1,\frac{58 \times 67+52 \times 82}{58+52}=74.09,Arithmetic Mean,No,1
73,440,"the number of students in each section of a school is 24 . after admitting new students , 3 new sections were started . now , the total number of sections is 16 and there are 21 students in each section . the number of new students admitted is :",physics,1,16 \times 21-13 \times 24=24,Basic Math Operations,No,1
74,2435,"in a neighborhood having 90 households , 11 did not have either a car or a bike . if 20 households had a both a car and a bike and 44 had a car , how many had bike only ?",other,1,90-11-20-(44-20)=35,Fundamental Counting Principles,No,1
75,1519,"find a number such that when 15 is subtracted from 7 times the number , the result is 10 more than twice the number .",general,1,\begin{gathered} x \times 7-15=2 x+10 \\ 5 x=25 \\ x=5 \end{gathered},Expression and Operations with Symbols,No,1
76,2696,"machine r takes 2 more hours than machine b to make 20 widgets . if working together , the machines can make 25 widgets in 3 hours , how long will it take machine r to make 40 widgets ?",physics,1,"t is time for machine $b$ to make 20 widgets. $(t+2) \times 2$ is time for machine $r$ to make 40 widgets $$ \begin{aligned} & 3 \times\left(\frac{20}{t}+\frac{20}{t+2}\right)=25 \\ & 25 t^2+50 t=120 t+120 \\ & 5 t^2-14 t-24=0 \\ & t=-\frac{6}{5}, 4 \\ & (t+2) \times 4=6 \times 4=24 \end{aligned} $$",Workload-Time-Speed,No,0
77,400,"what is the max number of rectangular boxes , each measuring 5 inches by 2 inches by 7 inches , that can be packed into a rectangular packing box measuring 15 inches by 20 inches by 35 inches , if all boxes are aligned in the same direction ?",geometry,1,(15 \div 5) \times(20 \div 2) \times(35 \div 7)=150,Volume Calculation,No,1
78,1458,"if 2 cards are selected at random from the deck of 52 cards then what is the probability of one of the selected cards will be king and other will be 10 ? a deck of cards has a total of 52 cards , consisting of 4 suits ; ( spades ( black ) , hearts ( red ) , diamond ( red ) s , and clubs ( black ) ) ; and 13 cards including 1 king , 1 queen and 1 jack in each suit",probability,1,\frac{4}{52} \times \frac{4}{52}=\frac{1}{169},Probability && Permutations and Combinations,Permutations and Combinations,0
79,275,"if the length of the longest chord of a certain circle is 18 , what is the radius of that certain circle ?",geometry,1,18 \div 2=9,Plane Geometry,No,1
80,359,"800 men have provisions for 15 days . if 200 more men join them , for how many days will the provisions last now ?",physics,1,800 \times 15 \div(200+800)=9,Direct Proportion and Inverse Proportion,No,0
81,357,"fox jeans regularly sell for $ 15 a pair and pony jeans regularly sell for $ 18 a pair . during a sale these regular unit prices are discounted at different rates so that a total of $ 8.73 is saved by purchasing 5 pairs of jeans : 3 pairs of fox jeans and 2 pairs of pony jeans . if the sum of the two discount rates is 22 percent , what is the discount rate on pony jeans ?",gain,1,discount rate of pony jeans: $x$ $$ \begin{gathered} 15 \times 3 \times(0.22-x)+18 \times 2 \times(x)=8.73 \\ 45 x-36 x=9.9-8.73 \\ x=0.13=13 \% \end{gathered} $$,Discount Problem,No,1
82,311,the area of a rectangular field is equal to 500 square meters . its perimeter is equal to 90 meters . find the width of this rectangle .,geometry,1,"\begin{aligned} & \text { length }: \frac{90}{2}-x=45-x \\ & \text { wideh }=x \\ & x(45-x)=500 \\ & x^2-45 x+500=0 \\ & x=20,25 \\ & \Rightarrow x=20 \end{aligned}",Area Calculation && Perimeter Calculation,No,1
83,938,"a number is doubled and 5 is added . if the resultant is trebled , it becomes 117 . what is that number ?",general,1,\frac{(117 \div 3)-5}{2}=17,Expression and Operations with Symbols,No,1
84,221,what is the rate percent when the simple interest on rs . 2000 amount to rs . 320 in 4 years ?,gain,1,\frac{320 \div 4}{2000}=\frac{80}{2000}=4 \%,Simple Interest,No,1
85,1798,a shopkeeper bought 600 oranges and 400 bananas . he found 15 % of oranges and 6 % of bananas were rotten . find the percentage of fruits in good condition ?,gain,1,"\frac{600 \times(1-0,15)+400 \times(1-0,06)}{400+600}=\frac{886}{1000}=0.886=88,6 \%",Ratio Calculation,No,1
86,561,how long does a train 110 m long running at the speed of 54 km / hr takes to cross a bridge 132 m length ?,physics,1,"\begin{aligned} & 54 \mathrm{~km} / \mathrm{nr}=15 \mathrm{~m} / \mathrm{s} \\ & (110+132) \div 15=16,13 \end{aligned}",Distance-Time-Speed && Unit Conversion,No,1
87,1593,"at the faculty of aerospace engineering , 312 students study random - processing methods , 222 students study scramjet rocket engines and 112 students study them both . if every student in the faculty has to study one of the two subjects , how many students are there in the faculty of aerospace engineering ?",other,1,312+222-112=422,Inclusion-Exclusion Principle,No,1
88,909,"a tank is filled in sixteen hours by 3 pipes a , b and c . pipe a is twice as fast as pipe b , and b is twice as fast as c . how much time will pipe b alone take to fill the tank ?",general,1,\frac{(2 \times 2+2+1) \times 16}{2}=8 \times 7=56,Workload-Time-Speed,No,1
89,219,"a dishonest dealer professes to sell goods at the cost price but uses a weight of 600 grams per kg , what is his percent ?",gain,1,"\begin{aligned} & 1 \div 0,6=1,666 \\ & 1,666-1=0.666 \\ & 0.666=66.6 \% \end{aligned}",Profit,No,1
90,1616,find the area of a rhombus whose side is 25 cm and one of the diagonals is 30 cm ?,geometry,1,\begin{aligned} & 30 \div 2=15 \\ & a^2+b^2=c^2 \\ & 15^2+b^2=25^2 \\ & b=20 \\ & 15 \times 20 \times 2=600 \end{aligned},Area Calculation,No,1
91,540,"a circular swimming pool is surrounded by a concrete wall 4 ft wide . if the area of the concrete wall surrounding the pool is 11 / 25 that of the pool , then the radius of the pool is ?",geometry,1,radius of the pool $=r$ $$ \begin{aligned} & \frac{2 \times r \times 3.14 \times 4}{r^2 \times 3.14}=\frac{11}{25} \\ & 11 r=25 \times 8=200 \\ & r=\frac{200}{11} \end{aligned} $$,Area Calculation,Area Calculation,0
92,2658,"the cost price of a radio is rs . 1500 and it was sold for rs . 1110 , find the loss % ?",gain,1,\frac{1500-1110}{1500}=\frac{26}{100}=26 \%,Loss,No,1
93,68,"a is two years older than b who is twice as old as c . if the total of the ages of a , b and c be 27 , the how old is b ?",general,1,"\begin{aligned} & a=b+2 \\ & b=2 c \\ & a+b+c=27 \\ & 2 c+2+2 c+c=27 \\ & c=5, b=10 \end{aligned}",Expression and Operations with Symbols,No,1
94,1273,an alloy weighing 16 ounces is 50 % gold . how many ounces of pure gold must be added to create an alloy that is 80 % gold ?,gain,1,Add $x$ ounces $$ \begin{aligned} & 16 \times 0.5=8 \\ & \frac{8+x}{16+x}=\frac{8}{10} \\ & 80+10 x=128+8 x \\ & x=24 \end{aligned} $$,Mixed Solution Concentration,No,1
